,profile,gender,favorite_anime
0,DesolatePsyche,Male,33352
1,baekbeans,Female,11061
3,edgewalker00,Male,5680
4,aManOfCulture99,Male,4181
7,NIGGER_BONER,Male,11061
8,jchang,Male,846
10,angelsreview,Female,534
11,CalebTheMenace,Male,4181
13,Eanki,Male,27989
14,NekoKyupi,Male,34599
16,OVERPOWERED99,Male,5680
18,JoJo_Stalin,Male,1050
19,Kaishuu,Male,27899
22,SakuraSan628,Female,232
24,Leyvon,Male,1735
25,Sime3134,Male,4181
27,GinKagu,Female,918
28,Itaku,Male,10049']
29,Lucryllin,Male,177
31,ggultra2764,Male,512
32,0Seru0,Male,7661
33,BowlingJD,Male,21
35,greatyu,Female,20
37,Slushpuppy282,Female,407
38,mattpointon77,Male,59
40,Abeyant,Male,35839
42,kyojin13,Male,31043
43,HybridMedia,Male,1016
44,eyerok,Male,820
46,shadowfireflame,Female,853
48,tinypinkghostie,Female,23289
49,stonnyfor,Male,1412
50,BabyGirl06301,Female,20
51,ToastytheBaker,Male,23847']
52,ImTheRhetorician,Male,269
54,Eoussama,Male,37510
55,Aphyxia,Male,1575
56,Shirayukishi,Female,20
58,ParaParaJMo,Male,1362
59,ChouEritto,Male,820
60,Yakarin,Female,4081
61,Paulwillson26,Male,44
62,Eneko-chan,Female,2164
63,Lima-Sama,Male,21
64,Algirdyz,Male,820
65,Baconzombie,Male,3297
67,AlexJetski,Male,14719
68,steampunkvillain,Male,9253
70,BienAgiter,Male,2904
71,bleeb,Female,431
73,Seabury,Male,30
74,Fleure,Female,440
75,Jodyqt,Male,2828
76,Lindle,Non-Binary,820
77,ZephSilver,Male,790
78,Mimi_Taylor,Female,12029
79,Detective,Male,32
81,InsaneMooseCat,Male,11617
82,theillusionary,Male,1530
83,Jakerams,Male,193
84,showandAG,Male,5114
85,xScHeiZe,Female,4181
86,ChildHatchling,Male,9213
87,Lohuydahutt,Male,17074
88,Victor_Lighty,Male,1535
89,Vedan,Male,813
90,TabiNoTochuu,Male,4789
92,LoveArrowShooto,Male,4181
93,For_Reign,Male,249
94,vanmarckestevy,Male,26
95,BTDee,Female,23755
97,LegendAqua,Male,32843
98,CinaGinger,Female,431
99,LandingZone,Male,37965
100,ryuichi_crosszer,Female,12711
