,Type,Episodes,Rating,Start_season,Score
0,TV,26,R - 17+ (violence & profanity),Spring,8.78
1,Movie,1,R - 17+ (violence & profanity),Summer,8.39
2,TV,26,PG-13 - Teens 13 or older,Spring,8.24
3,TV,26,PG-13 - Teens 13 or older,Summer,7.27
4,TV,52,PG - Children,Fall,6.98
6,TV,24,PG-13 - Teens 13 or older,Spring,8.06
7,TV,52,PG-13 - Teens 13 or older,Fall,7.59
8,TV,24,PG-13 - Teens 13 or older,Spring,8.15
9,TV,74,R+ - Mild Nudity,Spring,8.76
13,TV,12,PG - Children,Fall,6.38
14,TV,26,PG-13 - Teens 13 or older,Fall,7.94
15,TV,24,R - 17+ (violence & profanity),Fall,7.42
16,TV,22,R+ - Mild Nudity,Spring,7.76
17,TV,24,R - 17+ (violence & profanity),Spring,7.32
18,TV,69,PG-13 - Teens 13 or older,Fall,7.95
19,TV,26,PG-13 - Teens 13 or older,Fall,7.51
20,TV,26,PG-13 - Teens 13 or older,Fall,8.32
21,Movie,1,R - 17+ (violence & profanity),Winter,7.45
22,Movie,1,R+ - Mild Nudity,Summer,8.51
23,TV,25,R+ - Mild Nudity,Fall,8.49
24,Movie,1,R+ - Mild Nudity,Fall,8.29
25,OVA,4,R - 17+ (violence & profanity),Winter,8.73
26,TV,94,PG-13 - Teens 13 or older,Winter,8.31
27,Movie,1,R - 17+ (violence & profanity),Fall,7.56
28,Movie,1,R+ - Mild Nudity,Summer,8.17
29,TV,26,PG-13 - Teens 13 or older,Spring,6.98
30,OVA,5,PG-13 - Teens 13 or older,Winter,7.32
31,TV,24,PG-13 - Teens 13 or older,Winter,7.35
32,OVA,3,R+ - Mild Nudity,Spring,6.31
33,TV,26,PG-13 - Teens 13 or older,Spring,7.26
34,TV,24,PG-13 - Teens 13 or older,Spring,7.14
35,Movie,1,R - 17+ (violence & profanity),Spring,7.1
36,TV,26,R - 17+ (violence & profanity),Spring,6.53
37,TV,13,R - 17+ (violence & profanity),Fall,5.91
38,TV,26,R - 17+ (violence & profanity),Fall,8.31
39,TV,26,R+ - Mild Nudity,Fall,7.05
40,TV,26,PG-13 - Teens 13 or older,Spring,7.43
41,TV,24,R - 17+ (violence & profanity),Fall,7.66
42,TV,26,PG-13 - Teens 13 or older,Spring,7.2
43,TV,26,PG-13 - Teens 13 or older,Summer,6.77
44,TV,12,R+ - Mild Nudity,Summer,6.62
45,TV,12,PG-13 - Teens 13 or older,Fall,7.44
46,TV,12,PG-13 - Teens 13 or older,Fall,7.65
47,TV,26,PG-13 - Teens 13 or older,Spring,7.98
48,TV,24,R - 17+ (violence & profanity),Spring,7.58
49,TV,23,PG-13 - Teens 13 or older,Fall,7.38
50,TV,25,PG-13 - Teens 13 or older,Fall,6.35
51,TV,24,R - 17+ (violence & profanity),Winter,7.65
52,TV,12,PG-13 - Teens 13 or older,Summer,8.07
53,TV,13,R - 17+ (violence & profanity),Summer,7.96
54,TV,26,G - All Ages,Fall,7.65
55,TV,25,PG-13 - Teens 13 or older,Summer,7.3
56,TV,13,PG-13 - Teens 13 or older,Fall,7.42
57,TV,13,PG-13 - Teens 13 or older,Fall,7.99
58,TV,24,R+ - Mild Nudity,Summer,7.09
59,TV,43,PG-13 - Teens 13 or older,Spring,7.78
60,OVA,12,PG-13 - Teens 13 or older,Winter,8.03
61,OVA,6,PG-13 - Teens 13 or older,Winter,7.9
62,Movie,1,PG-13 - Teens 13 or older,Summer,6.79
63,OVA,13,PG-13 - Teens 13 or older,Spring,7.3
64,TV,50,PG-13 - Teens 13 or older,Spring,7.92
65,TV,47,PG-13 - Teens 13 or older,Spring,6.66
66,Movie,1,PG-13 - Teens 13 or older,Winter,7.68
67,Movie,1,PG-13 - Teens 13 or older,Winter,6.67
68,TV,51,PG-13 - Teens 13 or older,Spring,6.76
69,TV,49,PG-13 - Teens 13 or older,Spring,7.72
70,OVA,3,PG-13 - Teens 13 or older,Winter,7.76
71,TV,39,PG-13 - Teens 13 or older,Spring,7.32
72,TV,50,R - 17+ (violence & profanity),Fall,7.79
73,TV,50,R - 17+ (violence & profanity),Fall,7.22
74,TV,50,PG-13 - Teens 13 or older,Spring,7.7
75,TV,49,PG-13 - Teens 13 or older,Spring,7.56
76,TV,26,PG-13 - Teens 13 or older,Spring,7.82
77,TV,26,PG-13 - Teens 13 or older,Fall,7.46
78,TV,26,PG-13 - Teens 13 or older,Fall,7.31
79,TV,13,PG-13 - Teens 13 or older,Spring,7.2
80,TV,12,PG-13 - Teens 13 or older,Winter,7.32
81,TV,26,PG-13 - Teens 13 or older,Spring,7.48
82,TV,74,G - All Ages,Winter,7.39
83,TV,24,R - 17+ (violence & profanity),Spring,7.23
84,TV,13,PG-13 - Teens 13 or older,Spring,6.46
85,TV,51,PG-13 - Teens 13 or older,Fall,7.7
86,TV,13,PG-13 - Teens 13 or older,Spring,7.23
87,OVA,3,PG-13 - Teens 13 or older,Winter,7.29
88,TV,24,PG-13 - Teens 13 or older,Spring,6.81
89,TV,52,PG-13 - Teens 13 or older,Spring,7.63
90,TV,52,PG - Children,Spring,6.83
91,TV,8,PG-13 - Teens 13 or older,Winter,4.95
92,TV,26,PG-13 - Teens 13 or older,Spring,7.38
93,TV,26,PG-13 - Teens 13 or older,Fall,7.93
94,TV,13,PG-13 - Teens 13 or older,Winter,6.83
95,TV,26,PG-13 - Teens 13 or older,Fall,6.97
96,OVA,7,PG-13 - Teens 13 or older,Spring,7.32
97,OVA,4,PG-13 - Teens 13 or older,Winter,6.85
98,TV,13,PG-13 - Teens 13 or older,Fall,6.56
99,TV,26,PG-13 - Teens 13 or older,Summer,7.69
100,TV,51,PG-13 - Teens 13 or older,Fall,8.17
101,TV,52,PG-13 - Teens 13 or older,Spring,7.96
102,TV,52,PG-13 - Teens 13 or older,Spring,7.64
103,OVA,4,PG-13 - Teens 13 or older,Fall,6.86
104,TV,13,PG-13 - Teens 13 or older,Fall,6.49
105,TV,13,PG-13 - Teens 13 or older,Spring,6.91
106,TV,24,PG-13 - Teens 13 or older,Spring,6.96
107,OVA,6,PG-13 - Teens 13 or older,Spring,6.79
108,TV,50,R - 17+ (violence & profanity),Spring,7.59
109,TV,25,PG-13 - Teens 13 or older,Fall,7.41
110,TV,26,PG-13 - Teens 13 or older,Spring,7.42
111,TV,49,PG-13 - Teens 13 or older,Fall,7.61
112,TV,12,R+ - Mild Nudity,Summer,6.21
113,TV,13,R - 17+ (violence & profanity),Fall,7.42
114,TV,75,PG-13 - Teens 13 or older,Fall,8.11
115,TV,62,PG-13 - Teens 13 or older,Fall,8.42
116,OVA,8,PG-13 - Teens 13 or older,Winter,8.33
117,OVA,8,PG-13 - Teens 13 or older,Winter,8.21
118,OVA,14,PG-13 - Teens 13 or older,Winter,8.29
119,TV,12,R - 17+ (violence & profanity),Winter,6.14
120,TV,44,PG-13 - Teens 13 or older,Winter,7.45
121,TV,12,PG-13 - Teens 13 or older,Fall,6.87
122,TV,13,G - All Ages,Winter,7.11
123,TV,26,PG-13 - Teens 13 or older,Fall,7.61
124,TV,12,R+ - Mild Nudity,Spring,6.76
125,TV,14,R+ - Mild Nudity,Fall,7.24
126,TV,12,PG-13 - Teens 13 or older,Winter,6.62
127,TV,12,PG-13 - Teens 13 or older,Spring,6.86
128,TV,50,R - 17+ (violence & profanity),Fall,7.66
129,OVA,3,R+ - Mild Nudity,Summer,7.12
130,TV,24,R - 17+ (violence & profanity),Fall,7.28
131,TV,45,PG-13 - Teens 13 or older,Spring,8.06
132,TV,64,PG-13 - Teens 13 or older,Summer,7.78
133,Movie,1,R - 17+ (violence & profanity),Summer,6.59
134,TV,24,R+ - Mild Nudity,Fall,7.43
135,TV,26,PG-13 - Teens 13 or older,Winter,6.98
136,TV,13,PG-13 - Teens 13 or older,Winter,7.34
137,TV,24,PG-13 - Teens 13 or older,Spring,6.34
138,TV,13,R - 17+ (violence & profanity),Fall,7.66
139,TV,24,R - 17+ (violence & profanity),Fall,7.33
140,TV,26,G - All Ages,Spring,6.94
141,TV,26,PG - Children,Spring,6.48
142,Movie,1,PG-13 - Teens 13 or older,Summer,8.72
143,TV,26,PG-13 - Teens 13 or older,Winter,7.42
144,TV,26,PG-13 - Teens 13 or older,Summer,7.48
145,TV,24,PG-13 - Teens 13 or older,Spring,7.41
146,TV,26,PG-13 - Teens 13 or older,Summer,7.38
147,TV,12,R - 17+ (violence & profanity),Fall,6.91
148,TV,101,PG-13 - Teens 13 or older,Fall,8.53
149,TV,13,PG - Children,Summer,6.35
150,TV,25,PG-13 - Teens 13 or older,Fall,7.23
151,TV,24,R - 17+ (violence & profanity),Spring,6.93
152,TV,26,PG-13 - Teens 13 or older,Spring,6.63
153,OVA,4,PG-13 - Teens 13 or older,Summer,6.19
154,TV,26,PG-13 - Teens 13 or older,Spring,7.55
155,TV,26,G - All Ages,Spring,7.18
156,OVA,1,G - All Ages,Summer,6.69
157,TV,13,PG-13 - Teens 13 or older,Fall,7.21
158,TV,13,PG-13 - Teens 13 or older,Fall,7.42
159,TV,26,PG-13 - Teens 13 or older,Spring,7.7
160,TV,39,G - All Ages,Spring,7.39
161,TV,12,PG-13 - Teens 13 or older,Winter,6.37
162,TV,26,PG-13 - Teens 13 or older,Spring,8.29
163,TV,13,PG-13 - Teens 13 or older,Fall,8.12
164,Movie,1,PG-13 - Teens 13 or older,Winter,7.89
166,TV,24,PG-13 - Teens 13 or older,Spring,7.14
167,OVA,3,PG-13 - Teens 13 or older,Winter,7.25
168,Special,1,PG-13 - Teens 13 or older,Fall,7.34
169,Special,1,PG-13 - Teens 13 or older,Spring,7.21
170,TV,24,R+ - Mild Nudity,Fall,6.8
171,OVA,5,R+ - Mild Nudity,Fall,7.55
172,TV,12,PG-13 - Teens 13 or older,Winter,7.17
173,TV,12,PG-13 - Teens 13 or older,Summer,6.88
174,TV,24,R+ - Mild Nudity,Spring,6.55
175,TV,24,R+ - Mild Nudity,Spring,7.35
176,Movie,1,PG - Children,Summer,8.83
177,TV,50,PG-13 - Teens 13 or older,Spring,7.48
178,OVA,6,R+ - Mild Nudity,Winter,7.21
179,TV,26,PG-13 - Teens 13 or older,Winter,7.82
180,OVA,5,Rx - Hentai,Summer,6.75
181,TV,12,PG-13 - Teens 13 or older,Winter,6.11
182,TV,26,R - 17+ (violence & profanity),Spring,8.5
183,TV,27,PG-13 - Teens 13 or older,Spring,7.16
184,OVA,13,R - 17+ (violence & profanity),Spring,7.4
185,OVA,3,PG-13 - Teens 13 or older,Spring,7.67
186,TV,26,PG-13 - Teens 13 or older,Fall,7.55
189,Movie,1,PG-13 - Teens 13 or older,Spring,6.86
193,Movie,1,PG-13 - Teens 13 or older,Fall,5.94
195,TV,26,PG-13 - Teens 13 or older,Fall,7.52
196,Movie,1,R - 17+ (violence & profanity),Summer,6.77
198,OVA,2,Rx - Hentai,Spring,6.65
199,TV,13,R+ - Mild Nudity,Winter,6.68
201,TV,64,PG-13 - Teens 13 or older,Winter,6.48
202,TV,13,R+ - Mild Nudity,Summer,7.56
203,OVA,6,PG-13 - Teens 13 or older,Spring,8.03
204,TV,26,R - 17+ (violence & profanity),Fall,7.65
205,TV,12,R - 17+ (violence & profanity),Summer,6.92
206,TV,27,R - 17+ (violence & profanity),Spring,7.02
207,TV,26,PG - Children,Summer,6.18
208,TV,70,PG - Children,Spring,8.16
209,TV,78,G - All Ages,Spring,7.65
210,TV,26,G - All Ages,Spring,6.69
212,TV,26,PG-13 - Teens 13 or older,Spring,6.64
213,TV,50,PG-13 - Teens 13 or older,Spring,8.09
214,TV,42,PG-13 - Teens 13 or older,Summer,7.36
215,TV,24,R - 17+ (violence & profanity),Fall,8.17
216,TV,12,PG-13 - Teens 13 or older,Fall,7.66
217,TV,11,R+ - Mild Nudity,Summer,6.45
218,TV,13,R - 17+ (violence & profanity),Winter,7.42
