,MAL_ID,Genres,Type,Episodes,Studios,Rating,Start_year,Start_season,Score,range_episodes,Genres_Split,Studios_Split
0,1,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26,Sunrise,R - 17+ (violence & profanity),1998,Spring,8.78,[25 - 37],"['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi', 'Space']",['Sunrise']
1,5,"Action, Drama, Mystery, Sci-Fi, Space",Movie,1,Bones,R - 17+ (violence & profanity),2001,Summer,8.39,[1 - 13],"['Action', 'Drama', 'Mystery', 'Sci-Fi', 'Space']",['Bones']
2,6,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen",TV,26,Madhouse,PG-13 - Teens 13 or older,1998,Spring,8.24,[25 - 37],"['Action', 'Sci-Fi', 'Adventure', 'Comedy', 'Drama', 'Shounen']",['Madhouse']
3,7,"Action, Mystery, Police, Supernatural, Drama, Magic",TV,26,Sunrise,PG-13 - Teens 13 or older,2002,Summer,7.27,[25 - 37],"['Action', 'Mystery', 'Police', 'Supernatural', 'Drama', 'Magic']",['Sunrise']
4,8,"Adventure, Fantasy, Shounen, Supernatural",TV,52,Toei Animation,PG - Children,2004,Fall,6.98,[49 - 61],"['Adventure', 'Fantasy', 'Shounen', 'Supernatural']",['ToeiAnimation']
5,15,"Action, Sports, Comedy, Shounen",TV,145,Gallop,PG-13 - Teens 13 or older,2005,Spring,7.95,[145 - 157],"['Action', 'Sports', 'Comedy', 'Shounen']",['Gallop']
6,16,"Comedy, Drama, Josei, Romance, Slice of Life",TV,24,J.C.Staff,PG-13 - Teens 13 or older,2005,Spring,8.06,[13 - 25],"['Comedy', 'Drama', 'Josei', 'Romance', 'SliceofLife']",['J.C.Staff']
7,17,"Slice of Life, Comedy, Sports, Shounen",TV,52,Nippon Animation,PG-13 - Teens 13 or older,2002,Fall,7.59,[49 - 61],"['SliceofLife', 'Comedy', 'Sports', 'Shounen']",['NipponAnimation']
8,18,"Action, Cars, Sports, Drama, Seinen",TV,24,A.C.G.T.,PG-13 - Teens 13 or older,2004,Spring,8.15,[13 - 25],"['Action', 'Cars', 'Sports', 'Drama', 'Seinen']",['A.C.G.T.']
9,19,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74,Madhouse,R+ - Mild Nudity,2004,Spring,8.76,[73 - 85],"['Drama', 'Horror', 'Mystery', 'Police', 'Psychological', 'Seinen', 'Thriller']",['Madhouse']
10,20,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",TV,220,Studio Pierrot,PG-13 - Teens 13 or older,2002,Fall,7.91,[217 - 229],"['Action', 'Adventure', 'Comedy', 'SuperPower', 'MartialArts', 'Shounen']",['StudioPierrot']
12,22,"Action, Comedy, Sports, School, Shounen",TV,178,Trans Arts,PG-13 - Teens 13 or older,2001,Fall,7.9,[169 - 181],"['Action', 'Comedy', 'Sports', 'School', 'Shounen']",['TransArts']
13,23,"Action, Shounen, Sports",TV,12,Toei Animation,PG - Children,2004,Fall,6.38,[1 - 13],"['Action', 'Shounen', 'Sports']",['ToeiAnimation']
14,24,"Comedy, Romance, School, Shounen",TV,26,Studio Comet,PG-13 - Teens 13 or older,2004,Fall,7.94,[25 - 37],"['Comedy', 'Romance', 'School', 'Shounen']",['StudioComet']
15,25,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen",TV,24,Gonzo,R - 17+ (violence & profanity),2004,Fall,7.42,[13 - 25],"['Action', 'Adventure', 'Comedy', 'Ecchi', 'Sci-Fi', 'Shounen']",['Gonzo']
16,26,"Action, Sci-Fi, Psychological, Drama",TV,22,Madhouse,R+ - Mild Nudity,2003,Spring,7.76,[13 - 25],"['Action', 'Sci-Fi', 'Psychological', 'Drama']",['Madhouse']
17,27,"Action, Supernatural, Vampire",TV,24,Gonzo,R - 17+ (violence & profanity),2005,Spring,7.32,[13 - 25],"['Action', 'Supernatural', 'Vampire']",['Gonzo']
18,28,"Comedy, Shounen",TV,69,Sunrise,PG-13 - Teens 13 or older,2004,Fall,7.95,[61 - 73],"['Comedy', 'Shounen']",['Sunrise']
19,29,"Action, Military, Sci-Fi, Historical, Drama, Seinen",TV,26,Studio Deen,PG-13 - Teens 13 or older,2004,Fall,7.51,[25 - 37],"['Action', 'Military', 'Sci-Fi', 'Historical', 'Drama', 'Seinen']",['StudioDeen']
20,30,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",TV,26,"Gainax, Tatsunoko Production",PG-13 - Teens 13 or older,1995,Fall,8.32,[25 - 37],"['Action', 'Sci-Fi', 'Dementia', 'Psychological', 'Drama', 'Mecha']","['Gainax', 'TatsunokoProduction']"
21,31,"Drama, Mecha, Psychological, Sci-Fi",Movie,1,"Gainax, Production I.G",R - 17+ (violence & profanity),1997,Winter,7.45,[1 - 13],"['Drama', 'Mecha', 'Psychological', 'Sci-Fi']","['Gainax', 'ProductionI.G']"
22,32,"Sci-Fi, Dementia, Psychological, Drama, Mecha",Movie,1,"Gainax, Production I.G",R+ - Mild Nudity,1997,Summer,8.51,[1 - 13],"['Sci-Fi', 'Dementia', 'Psychological', 'Drama', 'Mecha']","['Gainax', 'ProductionI.G']"
23,33,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,25,OLM,R+ - Mild Nudity,1997,Fall,8.49,[25 - 37],"['Action', 'Adventure', 'Demons', 'Drama', 'Fantasy', 'Horror', 'Military', 'Romance', 'Seinen', 'Supernatural']",['OLM']
24,43,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,1,Production I.G,R+ - Mild Nudity,1995,Fall,8.29,[1 - 13],"['Action', 'Mecha', 'Police', 'Psychological', 'Sci-Fi', 'Seinen']",['ProductionI.G']
25,44,"Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen",OVA,4,Studio Deen,R - 17+ (violence & profanity),1999,Winter,8.73,[1 - 13],"['Action', 'Historical', 'Drama', 'Romance', 'MartialArts', 'Samurai', 'Shounen']",['StudioDeen']
26,45,"Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen",TV,94,"Gallop, Studio Deen",PG-13 - Teens 13 or older,1996,Winter,8.31,[85 - 97],"['Action', 'Adventure', 'Comedy', 'Historical', 'Romance', 'Samurai', 'Shounen']","['Gallop', 'StudioDeen']"
27,46,"Samurai, Historical, Drama, Shounen",Movie,1,Gallop,R - 17+ (violence & profanity),1997,Fall,7.56,[1 - 13],"['Samurai', 'Historical', 'Drama', 'Shounen']",['Gallop']
28,47,"Action, Military, Sci-Fi, Adventure, Horror, Supernatural, Seinen",Movie,1,Tokyo Movie Shinsha,R+ - Mild Nudity,1988,Summer,8.17,[1 - 13],"['Action', 'Military', 'Sci-Fi', 'Adventure', 'Horror', 'Supernatural', 'Seinen']",['TokyoMovieShinsha']
29,48,"Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy",TV,26,Bee Train,PG-13 - Teens 13 or older,2002,Spring,6.98,[25 - 37],"['Game', 'Sci-Fi', 'Adventure', 'Mystery', 'Magic', 'Fantasy']",['BeeTrain']
30,49,"Comedy, Magic, Romance, Seinen, Supernatural",OVA,5,AIC,PG-13 - Teens 13 or older,1993,Winter,7.32,[1 - 13],"['Comedy', 'Magic', 'Romance', 'Seinen', 'Supernatural']",['AIC']
31,50,"Comedy, Supernatural, Magic, Romance, Seinen",TV,24,AIC,PG-13 - Teens 13 or older,2005,Winter,7.35,[13 - 25],"['Comedy', 'Supernatural', 'Magic', 'Romance', 'Seinen']",['AIC']
32,51,"Action, Drama, Romance, Shoujo, Supernatural",OVA,3,Hal Film Maker,R+ - Mild Nudity,2000,Spring,6.31,[1 - 13],"['Action', 'Drama', 'Romance', 'Shoujo', 'Supernatural']",['HalFilmMaker']
33,52,"Sci-Fi, Comedy, Sports, Drama, Shounen",TV,26,Bones,PG-13 - Teens 13 or older,2001,Spring,7.26,[25 - 37],"['Sci-Fi', 'Comedy', 'Sports', 'Drama', 'Shounen']",['Bones']
34,53,"Harem, Slice of Life, Comedy, Drama, Romance",TV,24,J.C.Staff,PG-13 - Teens 13 or older,2002,Spring,7.14,[13 - 25],"['Harem', 'SliceofLife', 'Comedy', 'Drama', 'Romance']",['J.C.Staff']
35,54,"Action, Military, Sci-Fi, Police, Drama, Mecha, Shounen",Movie,1,Digital Frontier,R - 17+ (violence & profanity),2004,Spring,7.1,[1 - 13],"['Action', 'Military', 'Sci-Fi', 'Police', 'Drama', 'Mecha', 'Shounen']",['DigitalFrontier']
36,55,"Action, Adventure, Fantasy, Horror, Sci-Fi",TV,26,Bee Train,R - 17+ (violence & profanity),1999,Spring,6.53,[25 - 37],"['Action', 'Adventure', 'Fantasy', 'Horror', 'Sci-Fi']",['BeeTrain']
